时间戳,横滚角(°),俯仰角(°),航向角(°),加速度X(m/s²),加速度Y(m/s²),加速度Z(m/s²),角速度X(rad/s),角速度Y(rad/s),角速度Z(rad/s),地磁X(μT),地磁Y(μT),地磁Z(μT),纬度(°),经度(°),GPS高度(米),GPS地速(m/s),GPS航向角(°),GPS卫星数,气压高度(米),气压(hPa),气温(℃),测距传感器(米),电压(V),电流(A),剩余电量(%),油门(0-100),空速(m/s),地速(m/s),爬升率(m/s),当前方向(°),是否解锁,飞行模式
="2025-07-29 17:22:53",-13,50,231,-3.274113,4.322229,2.105852,0.7292604,0.927658,0.5814933,-4,9,15,24.0743443765092,120.076425979508,35,18,80,10,213,1010,14,2,11.36247,2.567757,22,58,9,4,1.890993,277,False,LOITER
="2025-07-29 17:22:53",14,-10,1,-0.506031,1.163618,-4.715726,0.2915432,0.7281212,0.8059198,-24,12,-8,24.0348404593928,120.027824493837,477,19,265,6,119,1016,22,4,11.16585,1.841119,22,9,2,19,1.725649,80,True,LOITER
="2025-07-29 17:22:53",8,55,82,-4.858589,-2.936364,2.393765,0.3148629,0.453796,0.8742791,43,35,12,24.0264569016297,120.06468356278,389,6,84,7,305,1014,11,2,11.85726,1.843866,22,86,12,4,2.582386,323,False,LOITER
="2025-07-29 17:22:54",-22,14,266,-4.232305,1.155905,-3.812353,0.2641038,0.7477964,0.2364399,-8,16,-14,24.0910350743639,120.000907750149,366,6,259,9,383,1017,20,7,10.9505,2.228329,41,88,17,15,1.716228,37,False,LOITER
="2025-07-29 17:22:54",78,85,213,-0.2909552,-4.612947,0.2497718,0.5700661,0.1643974,0.2140666,47,1,-13,24.0324670447653,120.041306123157,387,0,129,9,272,1018,21,7,10.01068,3.265889,64,10,5,13,3.669584,92,False,LOITER
="2025-07-29 17:22:54",-18,-67,120,2.305732,-1.105021,-1.825802,0.538173,0.6952446,0.7933801,-35,-23,5,24.0922687134204,120.016773316039,179,3,11,11,431,1010,14,8,10.37815,1.517044,18,96,18,16,4.65835,83,True,LOITER
="2025-07-29 17:22:54",-13,82,179,-3.861832,-2.5807,4.888692,0.682488,0.38533,0.7008592,32,29,25,24.0763133408391,120.050644239667,98,1,174,7,478,1005,10,8,11.51345,0.858662,60,94,0,10,2.098958,135,True,LOITER
="2025-07-29 17:22:54",47,11,89,3.475767,0.9681802,-0.7526591,0.05391638,0.117086,0.1617125,-15,-26,-34,24.0679648514222,120.050742461789,23,8,286,14,443,1009,17,9,11.93946,4.359782,55,19,6,10,1.490503,344,False,LOITER
="2025-07-29 17:22:55",83,-32,37,-4.69482,-3.109483,0.1519368,0.6588657,0.5996189,0.6579202,-7,-33,29,24.0911204831168,120.078149783927,353,1,239,10,258,1004,18,5,11.84672,0.9238201,78,59,7,5,1.98688,35,True,LOITER
="2025-07-29 17:22:55",57,-54,75,-2.156105,3.393431,0.7453308,0.4769067,0.8580527,0.9107504,-37,-11,-28,24.0022780209325,120.035860652121,90,1,32,13,61,1013,24,8,11.4421,2.942951,43,39,18,4,2.982263,50,False,LOITER
="2025-07-29 17:22:55",-54,10,318,-1.459489,0.8950561,2.008983,0.4971083,0.8686433,0.5025451,-32,20,10,24.009732503821,120.015938057385,151,18,297,11,267,1005,16,3,10.8732,2.986879,3,48,12,17,2.197543,235,False,LOITER
="2025-07-29 17:22:55",-43,48,276,-3.104037,1.69725,-3.625827,0.00455538,0.5909696,0.3576267,9,48,11,24.0474511715804,120.024788091343,86,12,154,6,249,1001,19,1,11.70737,4.678008,92,12,5,6,0.526606,28,True,LOITER
="2025-07-29 17:22:55",-13,62,342,-0.606915,3.355949,-1.695282,0.9697842,0.6338827,0.7631606,32,-49,-33,24.0692174273865,120.045231720035,327,19,125,13,430,1003,20,9,11.11998,3.00235,19,91,16,5,2.734594,305,True,LOITER
="2025-07-29 17:22:56",-3,-40,341,0.5419407,2.714552,0.2185744,0.8085724,0.3374853,0.2932543,-5,-1,23,24.0272591780532,120.061736345786,442,3,173,7,80,1018,16,3,11.77335,4.615593,48,28,7,4,4.588704,179,True,LOITER
="2025-07-29 17:22:56",-75,74,47,0.3126493,3.980027,2.443417,0.8981231,0.8837383,0.4402314,4,2,6,24.0733081415171,120.022709055395,102,5,353,8,378,1006,24,4,11.82188,1.198419,24,39,0,1,2.415397,61,True,LOITER
="2025-07-29 17:22:56",-15,52,270,-0.9165537,3.223656,-3.597358,0.08609853,0.9879282,0.4171698,8,-12,22,24.0397569706849,120.092138587866,338,3,250,7,0,1007,23,2,10.30251,3.585451,70,0,17,5,2.531165,259,True,LOITER
="2025-07-29 17:22:56",-18,-42,350,-3.915397,2.731701,4.810747,0.8187459,0.3817906,0.1471318,39,-18,-17,24.07628059279,120.060202952223,332,10,114,10,119,1006,21,5,11.60119,3.208449,25,64,0,14,4.097867,89,True,LOITER
="2025-07-29 17:22:56",-4,35,270,4.876401,-0.5007222,-0.7486708,0.8129255,0.9044887,0.1725191,37,40,35,24.0472069514204,120.06014330986,411,7,41,5,244,1011,20,3,10.78188,0.2611333,91,46,6,17,0.6519458,340,False,LOITER
="2025-07-29 17:22:57",11,71,36,3.436677,1.416308,-4.895437,0.6143894,0.2157876,0.08823542,0,15,-44,24.0451403721446,120.087764918612,314,6,14,9,127,1018,20,3,11.34655,0.3413321,21,30,14,1,4.899826,33,True,LOITER
="2025-07-29 17:22:57",49,-50,275,-1.592815,4.543368,-1.293194,0.7577655,0.1805946,0.3779908,0,31,-10,24.0068973231627,120.006871477238,101,18,62,7,70,1005,16,8,10.0526,2.193146,23,22,0,12,1.675154,111,True,LOITER
="2025-07-29 17:22:57",-48,88,195,3.845383,3.392959,1.852855,0.5369307,0.673915,0.9578456,-22,-25,37,24.0419184679826,120.08532749139,464,12,359,5,183,1010,21,8,11.60779,2.744092,89,20,6,2,3.640502,121,False,LOITER
="2025-07-29 17:22:57",62,-78,343,0.8343741,-0.9266085,0.2641226,0.1841764,0.3631044,0.2542527,13,11,-32,24.0007998801772,120.015846690729,499,12,210,8,310,1000,19,9,11.56958,3.832673,39,18,19,19,3.196185,128,False,LOITER
="2025-07-29 17:22:57",80,21,55,-0.9003758,3.086856,-0.3617817,0.2698375,0.5216216,0.07788937,31,14,-39,24.0887898682564,120.016238170963,327,15,140,13,296,1014,22,1,10.60797,2.544718,87,28,3,3,1.086928,191,False,LOITER
="2025-07-29 17:22:58",40,71,75,1.705775,0.633033,3.532432,0.7485045,0.1910267,0.1432957,-19,28,4,24.0218195681096,120.097065882104,427,17,217,12,197,1012,11,1,11.23132,3.113685,83,31,12,10,2.629081,98,False,LOITER
="2025-07-29 17:22:58",-36,8,222,4.24266,-2.836469,1.785321,0.4918042,0.09163471,0.9426539,14,20,-6,24.0426617579268,120.002405762254,281,1,193,5,192,1011,16,8,11.85856,0.5476006,67,28,11,16,1.235014,74,False,LOITER
="2025-07-29 17:22:58",29,66,83,-0.2275034,4.988256,1.005028,0.04639285,0.6388068,0.2183572,-39,15,-5,24.0961544326954,120.038085706643,298,3,215,7,115,1002,17,2,11.38064,3.199525,48,61,10,4,4.677796,33,True,LOITER
="2025-07-29 17:22:58",62,42,153,-4.579055,0.8134351,-3.052058,0.5468079,0.5632948,0.4852886,-1,-12,-34,24.0472326899167,120.079306772016,185,19,262,5,45,1019,18,1,10.19981,3.531022,52,17,11,19,1.914421,33,True,LOITER
="2025-07-29 17:22:58",36,-68,162,3.060889,2.161798,0.3583435,0.3387626,0.01530657,0.9942504,-45,21,24,24.0615635250516,120.012630441418,486,4,304,6,324,1015,12,8,10.2079,0.5373774,82,63,14,10,2.016797,217,True,LOITER
="2025-07-29 17:22:59",-58,-20,249,1.803806,-4.588318,-4.791461,0.9869788,0.6557469,0.4318997,-12,-44,-41,24.093607911092,120.083916639063,135,9,208,10,479,1014,23,7,10.62564,3.169627,85,2,6,19,0.4043052,293,True,LOITER
="2025-07-29 17:22:59",20,-20,180,0.3382308,-1.477383,4.234417,0.4459238,0.9310446,0.1971372,35,-5,-29,24.0389609198267,120.010015809401,373,3,96,10,75,1002,24,4,11.71559,3.315511,44,8,1,16,0.09332635,243,False,LOITER
