时间戳,横滚角(°),俯仰角(°),航向角(°),加速度X(m/s²),加速度Y(m/s²),加速度Z(m/s²),角速度X(rad/s),角速度Y(rad/s),角速度Z(rad/s),地磁X(μT),地磁Y(μT),地磁Z(μT),纬度(°),经度(°),GPS高度(米),GPS地速(m/s),GPS航向角(°),GPS卫星数,气压高度(米),气压(hPa),气温(℃),测距传感器(米),电压(V),电流(A),剩余电量(%),油门(0-100),空速(m/s),地速(m/s),爬升率(m/s),当前方向(°),是否解锁,飞行模式
="2025-07-21 15:27:23",56,-69,273,4.640233,3.562622,-0.9707282,0.9001113,0.3720466,0.7106087,1,-38,-46,24.0851298766141,120.089897905611,126,4,158,11,395,1018,21,8,11.80044,4.534861,66,8,14,5,1.687594,152,True,LOITER
="2025-07-21 15:27:23",-35,8,126,-0.4858454,4.698554,2.881085,0.4325439,0.2125962,0.6994503,-15,47,3,24.0009585564495,120.051090426534,6,4,60,9,246,1015,11,4,11.86843,1.520453,0,21,17,6,3.868689,248,True,LOITER
="2025-07-21 15:27:23",-84,-39,279,3.172445,0.001632527,-0.004357619,0.4475636,0.2831554,0.4448078,-50,-6,-41,24.058894765777,120.075848513877,138,17,142,11,425,1010,23,8,11.315,3.02333,88,61,0,8,3.751093,336,False,LOITER
="2025-07-21 15:27:24",-12,-89,265,4.432204,-2.555029,-2.661404,0.6936598,0.5138337,0.7312266,22,-38,-46,24.0758590544927,120.068580351522,165,6,196,12,164,1009,19,9,10.29412,3.687773,18,62,3,18,4.443917,162,False,LOITER
="2025-07-21 15:27:24",5,1,316,-4.917764,-4.169031,3.51986,0.8152648,0.03224349,0.6567736,20,-37,-38,24.0822815836325,120.075171671331,398,17,330,10,133,1010,20,4,10.95588,2.36618,51,86,19,15,3.081847,22,True,LOITER
="2025-07-21 15:27:24",22,-40,258,0.923858,0.3755087,3.791298,0.6775799,0.2475352,0.4932815,23,19,17,24.0754641452224,120.052311528079,400,6,354,8,364,1005,15,6,11.89976,1.436539,11,3,8,9,1.107345,306,False,LOITER
="2025-07-21 15:27:24",-16,16,337,0.0803095,3.412007,-3.954889,0.1593309,0.2604244,0.01977832,-26,-20,27,24.0771697702711,120.001782434574,374,14,342,12,268,1000,15,8,11.6212,1.953375,0,32,8,9,2.528375,170,False,LOITER
="2025-07-21 15:27:24",-86,25,240,-2.184195,-4.217439,3.160273,0.01508433,0.9602966,0.2197306,32,-37,20,24.0010914814664,120.006390773182,424,3,97,8,154,1009,21,7,11.67802,3.492015,52,78,10,10,2.558882,242,True,LOITER
="2025-07-21 15:27:25",45,8,19,-2.168549,-3.678718,-3.974138,0.7362438,0.6707286,0.9072724,43,25,-19,24.0187061915727,120.023204120352,88,15,117,6,75,1003,11,2,10.0336,2.050988,34,80,19,15,1.474422,96,True,LOITER
="2025-07-21 15:27:25",-10,8,53,-1.239644,-3.374321,4.558426,0.7807626,0.7177121,0.07559806,3,19,-10,24.0521067593955,120.002095276211,183,13,167,8,491,1004,15,4,11.024,2.803703,55,53,12,18,1.652178,47,True,LOITER
="2025-07-21 15:27:25",-23,25,153,-1.934602,2.714393,-4.607781,0.8560056,0.01514098,0.8438448,4,-7,-43,24.0628273606593,120.042591791946,397,9,140,14,74,1010,16,3,10.09383,0.7815979,8,3,11,16,3.16248,111,True,LOITER
="2025-07-21 15:27:25",-21,79,197,-1.838356,2.621194,-4.045362,0.7144129,0.5949879,0.6127262,11,-17,-37,24.0675167338771,120.091828623503,142,17,48,12,17,1005,24,2,11.25506,2.907728,6,59,5,4,3.68612,162,False,LOITER
="2025-07-21 15:27:25",-22,5,254,-4.524498,-3.680784,-4.215789,0.1097535,0.03367599,0.4002698,17,-12,3,24.0893990569233,120.006596759989,85,7,85,13,75,1009,10,6,10.11068,4.369978,20,31,19,5,0.8492561,297,False,LOITER
="2025-07-21 15:27:26",64,-62,206,4.53229,1.069627,4.687637,0.8707361,0.1529727,0.8053063,-48,22,13,24.0580798056247,120.058503691367,321,14,185,13,110,1000,16,6,11.99969,4.90545,78,47,16,16,4.07866,39,True,LOITER
="2025-07-21 15:27:26",65,13,64,0.228045,-1.235853,-1.787453,0.1127386,0.5643975,0.4029851,-14,15,-16,24.0427207895754,120.032835125752,482,9,104,10,291,1009,15,9,11.58986,0.4019541,27,16,11,3,0.6471192,49,False,LOITER
="2025-07-21 15:27:26",-30,35,60,3.643542,-4.400217,-0.9817671,0.06223242,0.2672578,0.4122856,-10,-18,31,24.0663953650121,120.076534935821,120,11,234,13,1,1010,14,3,11.31477,2.499989,91,77,1,5,1.078282,262,True,LOITER
="2025-07-21 15:27:26",-12,-43,121,-1.871238,1.499897,-2.396276,0.463997,0.9041106,0.07271664,-28,-21,-33,24.0049889562209,120.00293490654,65,2,113,5,294,1018,15,2,11.18581,3.7586,10,3,13,18,1.404082,109,True,LOITER
="2025-07-21 15:27:26",-81,32,165,3.939131,0.5090471,-1.735722,0.4524732,0.5915645,0.3122651,-32,41,43,24.0316723046506,120.09823961975,31,12,169,12,324,1015,13,6,11.5814,2.978273,30,67,11,4,3.060915,213,True,LOITER
="2025-07-21 15:27:27",22,48,149,-2.55946,-0.1231299,0.9104749,0.135436,0.580893,0.8045471,36,-7,-23,24.0750165235135,120.043205439971,98,5,276,5,215,1003,12,6,11.03939,2.940767,42,89,17,11,4.385908,266,False,LOITER
="2025-07-21 15:27:27",86,39,242,-2.070059,-3.391949,4.004527,0.7383422,0.5750319,0.01644823,-17,-30,34,24.0920974214059,120.07843932094,175,0,58,6,198,1016,12,2,10.79469,1.734847,99,24,16,16,2.978561,262,True,LOITER
="2025-07-21 15:27:27",36,-79,222,-0.4147211,0.571252,-4.244409,0.1390603,0.03533744,0.3757306,-47,-4,-9,24.0860976232151,120.09653640664,394,11,289,5,425,1013,17,5,11.84828,0.3823804,79,32,6,6,4.555123,26,True,LOITER
="2025-07-21 15:27:27",86,-39,282,-0.01909315,2.797148,-1.97839,0.3258653,0.7945549,0.9649775,-48,-43,-48,24.078550056265,120.070087186326,384,10,137,7,325,1000,21,7,10.05655,0.3855687,22,13,10,13,1.178703,269,True,LOITER
="2025-07-21 15:27:27",-68,-36,40,-0.1291264,-3.747253,-4.241648,0.4672734,0.0092748,0.2965616,-3,-23,38,24.067504714973,120.039588910825,228,2,135,5,392,1018,11,3,10.09596,0.8537545,23,26,14,5,3.199648,273,True,LOITER
="2025-07-21 15:27:28",10,-51,67,4.527561,2.184144,1.728728,0.2137845,0.6427343,0.4605343,41,-31,-15,24.0546462158927,120.046977239077,428,7,245,12,0,1003,19,5,11.60378,3.680381,86,25,18,5,4.324798,132,False,LOITER
="2025-07-21 15:27:28",-24,6,292,2.190162,1.694055,-0.1276207,0.443133,0.7394179,0.4657665,-34,-12,-18,24.0031699373867,120.090825436446,452,10,252,8,453,1000,17,6,11.18618,0.1666474,10,41,9,1,2.314991,263,True,LOITER
="2025-07-21 15:27:28",49,-74,259,3.23055,3.177585,2.334145,0.7507562,0.1884077,0.8659879,-27,-48,3,24.0004913149404,120.024475131195,63,15,298,14,376,1004,23,9,10.68201,3.427346,73,94,15,12,1.271207,12,False,LOITER
="2025-07-21 15:27:28",-41,42,72,1.089915,-2.682456,-1.893801,0.08519941,0.08771232,0.7681021,45,-32,-46,24.0788711024816,120.048096378263,51,11,283,14,322,1012,11,7,10.9802,0.4346701,81,75,0,1,4.370559,343,False,LOITER
="2025-07-21 15:27:28",78,59,318,2.503998,3.00609,3.048364,0.6357598,0.8944905,0.4595717,24,37,48,24.0290676054214,120.068598409402,458,11,73,11,177,1019,19,6,10.82319,1.125939,56,24,2,15,2.400167,99,True,LOITER
